"filename", "language", "Svelte", "TypeScript", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.d.ts", "TypeScript", 0, 5, 0, 0, 0, 7, 2, 14
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.html", "HTML", 0, 0, 11, 0, 0, 0, 1, 12
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/hooks.server.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 4, 13
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/background.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/mainPage.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth-client.ts", "TypeScript", 0, 8, 0, 0, 0, 1, 2, 11
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth.ts", "TypeScript", 0, 62, 0, 0, 0, 23, 5, 90
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/Combobox.svelte", "Svelte", 124, 0, 0, 0, 0, 0, 12, 136
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/ToNavigateBtn.svelte", "Svelte", 8, 0, 0, 0, 0, 0, 3, 11
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/DeleteBtn.svelte", "Svelte", 57, 0, 0, 0, 0, 3, 9, 69
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/MobileMenu.svelte", "Svelte", 41, 0, 0, 0, 0, 1, 7, 49
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/OperatorLogin.svelte", "Svelte", 97, 0, 0, 0, 0, 0, 9, 106
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/Pagination.svelte", "Svelte", 86, 0, 0, 0, 0, 1, 12, 99
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/ResultInfo.svelte", "Svelte", 56, 0, 0, 0, 0, 0, 8, 64
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Filter.svelte", "Svelte", 124, 0, 0, 0, 0, 1, 10, 135
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/HallsTable.svelte", "Svelte", 80, 0, 0, 0, 0, 1, 7, 88
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewPartTable.svelte", "Svelte", 88, 0, 0, 0, 0, 0, 8, 96
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewProcessTable.svelte", "Svelte", 119, 0, 0, 0, 0, 1, 11, 131
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewProjectTable.svelte", "Svelte", 84, 0, 0, 0, 0, 1, 8, 93
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewScrapCodeTable.svelte", "Svelte", 90, 0, 0, 0, 0, 1, 9, 100
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/SearchScrapTable.svelte", "Svelte", 140, 0, 0, 0, 0, 2, 11, 153
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/User.svelte", "Svelte", 59, 0, 0, 0, 0, 6, 10, 75
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-action.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 3, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-cancel.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 3, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-content.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 3, 28
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-description.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-footer.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-header.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-overlay.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-title.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/alert-dialog-trigger.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/alert-dialog/index.ts", "TypeScript", 0, 36, 0, 0, 0, 1, 3, 40
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/button/button.svelte", "Svelte", 75, 0, 0, 0, 0, 0, 6, 81
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/button/index.ts", "TypeScript", 0, 15, 0, 0, 0, 1, 2, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-action.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-content.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-description.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-footer.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-header.svelte", "Svelte", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-title.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card.svelte", "Svelte", 21, 0, 0, 0, 0, 0, 3, 24
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/index.ts", "TypeScript", 0, 23, 0, 0, 0, 1, 2, 26
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/checkbox/checkbox.svelte", "Svelte", 34, 0, 0, 0, 0, 0, 3, 37
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/checkbox/index.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 1, 7
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-dialog.svelte", "Svelte", 38, 0, 0, 0, 0, 0, 3, 41
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-empty.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-group.svelte", "Svelte", 30, 0, 0, 0, 0, 0, 3, 33
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-input.svelte", "Svelte", 24, 0, 0, 0, 0, 0, 3, 27
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-item.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-link-item.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-list.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-separator.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-shortcut.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command.svelte", "Svelte", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/index.ts", "TypeScript", 0, 36, 0, 0, 0, 1, 4, 41
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/data-table.svelte.ts", "TypeScript", 0, 90, 0, 0, 0, 35, 17, 142
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/flex-render.svelte", "Svelte", 32, 0, 0, 0, 0, 2, 3, 37
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/render-helpers.ts", "TypeScript", 0, 29, 0, 0, 0, 78, 5, 112
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-close.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-content.svelte", "Svelte", 41, 0, 0, 0, 0, 0, 3, 44
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-description.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-footer.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-header.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-overlay.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-title.svelte", "Svelte", 15, 0, 0, 0, 0, 0, 3, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-trigger.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/index.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 4, 38
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-checkbox-item.svelte", "Svelte", 39, 0, 0, 0, 0, 0, 3, 42
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-content.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 3, 28
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-group-heading.svelte", "Svelte", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-group.svelte", "Svelte", 5, 0, 0, 0, 0, 0, 3, 8
