"filename", "language", "TypeScript", "Svelte", "comment", "blank", "total"
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/hooks.server.ts", "TypeScript", 1, 0, 3, -1, 3
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth.ts", "TypeScript", 9, 0, 0, 0, 9
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/Combobox.svelte", "Svelte", 0, 15, 0, 1, 16
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/DeleteBtn.svelte", "Svelte", 0, 4, 0, 0, 4
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/LandingStatistic.svelte", "Svelte", 0, 64, 3, 7, 74
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/OperatorLogin.svelte", "Svelte", 0, 37, 1, 6, 44
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/ResultInfo.svelte", "Svelte", 0, 2, 0, 0, 2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/CreateScrapForm.svelte", "Svelte", 0, 203, 15, 13, 231
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/EditSearchScrapForm.svelte", "Svelte", 0, 160, 12, 16, 188
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Logger.svelte", "Svelte", 0, 48, 0, 7, 55
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/SearchScrapTable.svelte", "Svelte", 0, -7, 0, 1, -6
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/serverHelp.ts", "TypeScript", 42, 0, 0, 1, 43
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/types/index.ts", "TypeScript", 18, 0, 0, 2, 20
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/zod/index.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/+page.server.ts", "TypeScript", 22, 0, 0, 1, 23
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/+page.svelte", "Svelte", 0, 13, 0, 1, 14
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newhall/+page.server.ts", "TypeScript", 19, 0, 0, 0, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newpart/+page.server.ts", "TypeScript", 18, 0, 0, 1, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newprocess/+page.server.ts", "TypeScript", 19, 0, 0, 0, 19
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newproject/+page.server.ts", "TypeScript", 18, 0, 0, 0, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newscrapcode/+page.server.ts", "TypeScript", 18, 0, 0, 3, 21
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/operatorregister/+page.server.ts", "TypeScript", 108, 0, 1, 8, 117
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/operatorregister/+page.svelte", "Svelte", 0, 135, 3, 10, 148
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/users/+page.svelte", "Svelte", 0, 10, 0, -2, 8
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/+page.svelte", "Svelte", 0, 3, 3, -2, 4
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/createScrap/+page.server.ts", "TypeScript", 102, 0, 0, 3, 105
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/createScrap/+page.svelte", "Svelte", 0, -91, -8, -7, -106
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/search/+page.server.ts", "TypeScript", 105, 0, 1, 8, 114
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Client)/search/+page.svelte", "Svelte", 0, 14, 1, 1, 16
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/+layout.server.ts", "TypeScript", 62, 0, 1, 2, 65
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/+layout.svelte", "Svelte", 0, 14, 0, 2, 16
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/api/export/scrap/+server.ts", "TypeScript", 6, 0, 0, 0, 6
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/api/operators/+server.ts", "TypeScript", 41, 0, 0, 4, 45
"Total", "-", 609, 624, 36, 86, 1355
