"filename", "language", "Svelte", "TypeScript", "PostCSS", "XML", "comment", "blank", "total"
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/mainPage.svg", "XML", 0, 0, 0, -1, 0, 0, -1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/Combobox.svelte", "Svelte", 4, 0, 0, 0, 0, 1, 5
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/FavoriteList.svelte", "Svelte", 39, 0, 0, 0, 0, 5, 44
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/OperatorLogin.svelte", "Svelte", -2, 0, 0, 0, 0, 0, -2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/CreateScrapForm.svelte", "Svelte", 2, 0, 0, 0, 0, 1, 3
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/EditSearchScrapForm.svelte", "Svelte", -15, 0, 0, 0, -1, 1, -15
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewPartTable.svelte", "Svelte", 1, 0, 0, 0, 0, 0, 1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewProcessTable.svelte", "Svelte", 4, 0, 0, 0, 0, 1, 5
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewProjectTable.svelte", "Svelte", -2, 0, 0, 0, 0, 0, -2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/NewScrapCodeTable.svelte", "Svelte", 3, 0, 0, 0, 0, -1, 2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/SearchScrapTable.svelte", "Svelte", -3, 0, 0, 0, 0, -1, -4
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-group.svelte", "Svelte", -2, 0, 0, 0, 0, 0, -2
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/index.ts", "TypeScript", 0, 0, 0, 0, 0, -1, -1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/stores/stores.ts", "TypeScript", 0, 1, 0, 0, 1, 1, 3
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/utils/types/index.ts", "TypeScript", 0, 22, 0, 0, 19, 4, 45
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newpart/+page.server.ts", "TypeScript", 0, 34, 0, 0, 1, 1, 36
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newpart/+page.svelte", "Svelte", 14, 0, 0, 0, 4, 0, 18
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newprocess/+page.server.ts", "TypeScript", 0, 50, 0, 0, 0, 3, 53
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newprocess/+page.svelte", "Svelte", 104, 0, 0, 0, 5, 3, 112
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newproject/+page.server.ts", "TypeScript", 0, -43, 0, 0, 0, 0, -43
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newproject/+page.svelte", "Svelte", -19, 0, 0, 0, -3, 0, -22
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/newscrapcode/+page.svelte", "Svelte", -2, 0, 0, 0, 3, 0, 1
"/Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/routes/(Admin)/admin/users/+page.server.ts", "TypeScript", 0, 47, 0, 0, 1, 3, 51
