Date : 2025-11-06 00:10:36
Directory : /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src
Total : 154 files,  7786 codes, 376 comments, 844 blanks, all 9006 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Svelte     |        105 |      4,975 |        170 |        568 |      5,713 |
| TypeScript |         45 |      2,594 |        202 |        262 |      3,058 |
| PostCSS    |          2 |        205 |          4 |         13 |        222 |
| HTML       |          1 |         11 |          0 |          1 |         12 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        154 |      7,786 |        376 |        844 |      9,006 |
| . (Files)                                                                                                                          |          3 |         26 |         10 |          6 |         42 |
| lib                                                                                                                                |        118 |      3,973 |        231 |        517 |      4,721 |
| lib (Files)                                                                                                                        |          1 |         35 |          1 |          9 |         45 |
| lib/assets                                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| lib/auth                                                                                                                           |          2 |         79 |         24 |          7 |        110 |
| lib/components                                                                                                                     |        107 |      3,633 |        176 |        463 |      4,272 |
| lib/components/atoms                                                                                                               |          2 |        151 |          0 |         17 |        168 |
| lib/components/molecules                                                                                                           |          7 |        481 |          9 |         63 |        553 |
| lib/components/organism                                                                                                            |         11 |      1,178 |         39 |        112 |      1,329 |
| lib/components/organism (Files)                                                                                                    |          3 |        231 |          7 |         27 |        265 |
| lib/components/organism/Forms                                                                                                      |          2 |        350 |         26 |         31 |        407 |
| lib/components/organism/Tables                                                                                                     |          6 |        597 |          6 |         54 |        657 |
| lib/components/ui                                                                                                                  |         87 |      1,823 |        128 |        271 |      2,222 |
| lib/components/ui (Files)                                                                                                          |          1 |         12 |          0 |          3 |         15 |
| lib/components/ui/alert-dialog                                                                                                     |         10 |        182 |          1 |         30 |        213 |
| lib/components/ui/button                                                                                                           |          2 |         90 |          1 |          8 |         99 |
| lib/components/ui/card                                                                                                             |          8 |        150 |          1 |         23 |        174 |
| lib/components/ui/checkbox                                                                                                         |          2 |         39 |          1 |          4 |         44 |
| lib/components/ui/command                                                                                                          |         11 |        245 |          1 |         34 |        280 |
| lib/components/ui/data-table                                                                                                       |          4 |        154 |        115 |         26 |        295 |
| lib/components/ui/dialog                                                                                                           |          9 |        168 |          1 |         28 |        197 |
| lib/components/ui/dropdown-menu                                                                                                    |         14 |        310 |          0 |         41 |        351 |
| lib/components/ui/hover-card                                                                                                       |          3 |         44 |          0 |          9 |         53 |
| lib/components/ui/input                                                                                                            |          2 |         52 |          1 |          7 |         60 |
| lib/components/ui/label                                                                                                            |          2 |         23 |          1 |          5 |         29 |
| lib/components/ui/popover                                                                                                          |          3 |         57 |          1 |          8 |         66 |
| lib/components/ui/separator                                                                                                        |          2 |         23 |          1 |          5 |         29 |
| lib/components/ui/table                                                                                                            |          9 |        181 |          1 |         26 |        208 |
| lib/components/ui/textarea                                                                                                         |          2 |         25 |          1 |          5 |         31 |
| lib/components/ui/tooltip                                                                                                          |          3 |         68 |          1 |          9 |         78 |
| lib/server                                                                                                                         |          1 |          9 |          4 |          5 |         18 |
| lib/stores                                                                                                                         |          1 |         31 |          1 |          5 |         37 |
| lib/utils                                                                                                                          |          5 |        185 |         25 |         28 |        238 |
| lib/utils (Files)                                                                                                                  |          2 |         70 |          6 |          8 |         84 |
| lib/utils/types                                                                                                                    |          1 |         62 |         19 |         12 |         93 |
| lib/utils/zod                                                                                                                      |          2 |         53 |          0 |          8 |         61 |
| routes                                                                                                                             |         31 |      3,582 |        131 |        308 |      4,021 |
| routes (Files)                                                                                                                     |          3 |        216 |         12 |         24 |        252 |
| routes/(Admin)                                                                                                                     |         17 |      2,343 |         65 |        188 |      2,596 |
| routes/(Admin)/admin                                                                                                               |         17 |      2,343 |         65 |        188 |      2,596 |
| routes/(Admin)/admin (Files)                                                                                                       |          3 |        166 |          4 |         19 |        189 |
| routes/(Admin)/admin/newhall                                                                                                       |          2 |        244 |          8 |         22 |        274 |
| routes/(Admin)/admin/newpart                                                                                                       |          2 |        392 |         13 |         26 |        431 |
| routes/(Admin)/admin/newprocess                                                                                                    |          2 |        468 |         15 |         31 |        514 |
| routes/(Admin)/admin/newproject                                                                                                    |          2 |        249 |          7 |         23 |        279 |
| routes/(Admin)/admin/newscrapcode                                                                                                  |          2 |        347 |         13 |         29 |        389 |
| routes/(Admin)/admin/operatorregister                                                                                              |          2 |        243 |          4 |         18 |        265 |
| routes/(Admin)/admin/users                                                                                                         |          2 |        234 |          1 |         20 |        255 |
| routes/(Client)                                                                                                                    |          9 |        889 |         51 |         84 |      1,024 |
| routes/(Client) (Files)                                                                                                            |          1 |         16 |          3 |          3 |         22 |
| routes/(Client)/createScrap                                                                                                        |          2 |        287 |          6 |         28 |        321 |
| routes/(Client)/login                                                                                                              |          1 |        134 |         30 |         12 |        176 |
| routes/(Client)/register                                                                                                           |          1 |        159 |          3 |          8 |        170 |
| routes/(Client)/report                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| routes/(Client)/search                                                                                                             |          2 |        249 |          9 |         27 |        285 |
| routes/(Client)/user                                                                                                               |          1 |         43 |          0 |          5 |         48 |
| routes/(Client)/user/profile                                                                                                       |          1 |         43 |          0 |          5 |         48 |
| routes/api                                                                                                                         |          2 |        134 |          3 |         12 |        149 |
| routes/api/export                                                                                                                  |          1 |         93 |          3 |          8 |        104 |
| routes/api/export/scrap                                                                                                            |          1 |         93 |          3 |          8 |        104 |
| routes/api/operators                                                                                                               |          1 |         41 |          0 |          4 |         45 |
| styles                                                                                                                             |          2 |        205 |          4 |         13 |        222 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.d.ts                                                           | TypeScript |          5 |          7 |          2 |         14 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/app.html                                                           | HTML       |         11 |          0 |          1 |         12 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/hooks.server.ts                                                    | TypeScript |         10 |          3 |          3 |         16 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/assets/background.svg                                          | XML        |          1 |          0 |          0 |          1 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth-client.ts                                            | TypeScript |          8 |          1 |          2 |         11 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/auth/auth.ts                                                   | TypeScript |         71 |         23 |          5 |         99 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/Combobox.svelte                               | Svelte     |        143 |          0 |         14 |        157 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/atoms/ToNavigateBtn.svelte                          | Svelte     |          8 |          0 |          3 |         11 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/DeleteBtn.svelte                          | Svelte     |         61 |          3 |          9 |         73 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/FavoriteList.svelte                       | Svelte     |         39 |          0 |          5 |         44 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/LandingStatistic.svelte                   | Svelte     |         64 |          3 |          7 |         74 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/MobileMenu.svelte                         | Svelte     |         41 |          1 |          7 |         49 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/OperatorLogin.svelte                      | Svelte     |        132 |          1 |         15 |        148 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/Pagination.svelte                         | Svelte     |         86 |          1 |         12 |         99 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/molecules/ResultInfo.svelte                         | Svelte     |         58 |          0 |          8 |         66 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Filter.svelte                              | Svelte     |        124 |          1 |         10 |        135 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/CreateScrapForm.svelte               | Svelte     |        205 |         15 |         14 |        234 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Forms/EditSearchScrapForm.svelte           | Svelte     |        145 |         11 |         17 |        173 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Logger.svelte                              | Svelte     |         48 |          0 |          7 |         55 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/organism/Tables/HallsTable.svelte                   | Svelte     |         80 |          1 |          7 |         88 |
